Found 570 ships
<49.02542°N 4.977366°W @ 2013-10-01T12:18:00
<49.04465°N 4.922966°W @ 2013-10-01T12:27:00
<49.06413°N 4.8666°W @ 2013-10-01T12:38:00
<49.06842°N 4.854833°W @ 2013-10-01T12:41:00
<49.11487°N 4.7265°W @ 2013-10-01T13:06:00
<49.15547°N 4.6264°W @ 2013-10-01T13:27:00
<49.17868°N 4.568666°W @ 2013-10-01T13:38:00
<49.26927°N 4.29935°W @ 2013-10-01T14:31:00
<49.36962°N 4.05585°W @ 2013-10-01T15:21:00
<49.41698°N 3.946133°W @ 2013-10-01T15:44:00
<49.6004°N 3.492617°W @ 2013-10-01T17:19:00
<49.60513°N 3.480733°W @ 2013-10-01T17:21:00
<49.65495°N 3.35425°W @ 2013-10-01T17:48:00
<49.67103°N 3.316383°W @ 2013-10-01T17:56:00
<49.7525°N 3.114967°W @ 2013-10-01T18:38:00
<49.77235°N 3.066°W @ 2013-10-01T18:48:00
<49.79253°N 3.016133°W @ 2013-10-01T18:58:00
<49.81205°N 2.9666°W @ 2013-10-01T19:08:00
<49.82792°N 2.926017°W @ 2013-10-01T19:17:00
<49.84212°N 2.870433°W @ 2013-10-01T19:27:00
<49.85118°N 2.816467°W @ 2013-10-01T19:37:00
<49.86162°N 2.759867°W @ 2013-10-01T19:48:00
<49.87138°N 2.703017°W @ 2013-10-01T19:58:00
<49.8809°N 2.646683°W @ 2013-10-01T20:09:00
<49.88867°N 2.601783°W @ 2013-10-01T20:17:00
<49.8975°N 2.54735°W @ 2013-10-01T20:27:00
AFRIKA (7 positions)
<48.60205°N 5.573087°W @ 2013-09-30T21:55:00
<48.57919°N 5.630202°W @ 2013-09-30T22:08:00
<48.52295°N 5.663291°W @ 2013-09-30T22:28:00
<48.4866°N 5.662385°W @ 2013-09-30T22:39:00
<48.46161°N 5.661147°W @ 2013-09-30T22:47:00
<48.42879°N 5.652502°W @ 2013-09-30T22:57:00
<48.40139°N 5.645218°W @ 2013-09-30T23:06:00
AIGLE DES MERS (82 positions)
<47.81555°N 4.38125°W @ 2013-09-30T22:08:00
<47.81555°N 4.41115°W @ 2013-09-30T22:29:00
<47.82932°N 4.437833°W @ 2013-09-30T22:38:00
<47.84507°N 4.4697°W @ 2013-09-30T22:49:00
<47.85758°N 4.495667°W @ 2013-09-30T22:58:00
<47.87293°N 4.5266°W @ 2013-09-30T23:08:00
<47.88585°N 4.560417°W @ 2013-09-30T23:19:00
<47.89618°N 4.5887°W @ 2013-09-30T23:27:00
<47.90827°N 4.622383°W @ 2013-09-30T23:38:00
<47.92118°N 4.65785°W @ 2013-09-30T23:49:00
<47.92102°N 4.694183°W @ 2013-09-30T23:59:00
<47.9204°N 4.724583°W @ 2013-10-01T00:08:00
<47.92365°N 4.76025°W @ 2013-10-01T00:18:00
<47.94542°N 4.78285°W @ 2013-10-01T00:29:00
<47.96325°N 4.798167°W @ 2013-10-01T00:38:00
<47.97413°N 4.800167°W @ 2013-10-01T00:48:00
<47.97723°N 4.808533°W @ 2013-10-01T00:58:00
<47.97158°N 4.809467°W @ 2013-10-01T01:09:00
<47.9752°N 4.814783°W @ 2013-10-01T01:17:00
<47.97553°N 4.81755°W @ 2013-10-01T01:28:00
<47.9745°N 4.814967°W @ 2013-10-01T01:39:00
<47.9735°N 4.813183°W @ 2013-10-01T01:49:00
<47.9732°N 4.811567°W @ 2013-10-01T01:57:00
<47.97307°N 4.80905°W @ 2013-10-01T02:08:00
<47.98442°N 4.804266°W @ 2013-10-01T02:19:00
<47.98428°N 4.80115°W @ 2013-10-01T02:29:00
<47.9851°N 4.785783°W @ 2013-10-01T02:38:00
<47.98613°N 4.77915°W @ 2013-10-01T02:48:00
<47.97998°N 4.804117°W @ 2013-10-01T02:59:00
<47.98932°N 4.83365°W @ 2013-10-01T03:09:00
<47.99235°N 4.8386°W @ 2013-10-01T03:18:00
<48.00408°N 4.849483°W @ 2013-10-01T03:28:00
<48.0028°N 4.8225°W @ 2013-10-01T03:38:00
<47.99612°N 4.78255°W @ 2013-10-01T03:49:00
<47.98942°N 4.750333°W @ 2013-10-01T03:57:00
